endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1552468926.473	498	497	117	11091	isSuccessful	200
1552468926.560	76	75	308	9394	isSuccessful	200
1552468927.074	139	137	113	11059	isSuccessful	200
1552468927.156	77	75	290	9396	isSuccessful	200
1552468927.255	693	73	69	6951	isSuccessful	200
1552468927.745	140	138	110	11035	isSuccessful	200
1552468927.777	604	73	69	6951	isSuccessful	200
1552468927.821	75	74	298	9394	isSuccessful	200
1552468927.920	140	139	108	11019	isSuccessful	200
1552468928.006	79	78	285	9396	isSuccessful	200
1552468928.072	140	138	115	11075	isSuccessful	200
1552468928.148	75	74	292	9396	isSuccessful	200
1552468928.349	526	76	69	6951	isSuccessful	200
1552468928.497	144	143	114	11067	isSuccessful	200
1552468928.578	79	79	303	9396	isSuccessful	200
1552468928.647	640	74	69	6951	isSuccessful	200
1552468928.791	140	137	112	11051	isSuccessful	200
1552468929.282	490	74	280	9394	isSuccessful	200
1552468929.487	1337	73	69	6951	isSuccessful	200
1552468929.602	670	137	114	11067	isSuccessful	200
1552468929.637	145	142	111	11043	isSuccessful	200
1552468929.743	140	74	286	9398	isSuccessful	200
1552468929.777	139	74	291	9394	isSuccessful	200
1552468930.200	1621	72	69	6951	isSuccessful	200
1552468930.268	336	140	109	11027	isSuccessful	200
1552468930.344	141	138	110	11035	isSuccessful	200
1552468930.345	76	75	298	9394	isSuccessful	200
1552468930.423	78	77	289	9396	isSuccessful	200
1552468931.076	140	138	110	11035	isSuccessful	200
1552468931.281	203	74	283	9396	isSuccessful	200
1552468932.083	145	141	113	11059	isSuccessful	200
1552468932.160	75	74	289	9394	isSuccessful	200
1552468933.075	142	140	109	11027	isSuccessful	200
1552468933.105	3822	73	69	6951	isSuccessful	200
1552468933.156	77	76	290	9398	isSuccessful	200
1552468933.247	139	137	112	11051	isSuccessful	200
1552468933.284	3506	74	69	6951	isSuccessful	200
1552468933.323	75	74	287	9396	isSuccessful	200
1552468933.430	142	139	107	11011	isSuccessful	200
1552468933.508	76	76	293	9396	isSuccessful	200
1552468934.070	138	135	107	11011	isSuccessful	200
1552468934.149	78	75	275	9396	isSuccessful	200
1552468934.965	3683	72	69	6951	isSuccessful	200
1552468935.073	140	138	110	11035	isSuccessful	200
1552468935.112	140	138	113	11059	isSuccessful	200
1552468935.152	78	77	294	9396	isSuccessful	200
1552468935.375	5029	75	69	6951	isSuccessful	200
1552468935.648	269	138	110	11035	isSuccessful	200
1552468935.714	601	74	290	9398	isSuccessful	200
1552468936.194	544	74	297	9396	isSuccessful	200
1552468936.574	6148	148	69	6951	isSuccessful	200
1552468936.722	143	141	112	11051	isSuccessful	200
1552468936.931	206	76	295	9398	isSuccessful	200
1552468937.120	3794	74	69	6951	isSuccessful	200
1552468937.263	140	138	107	11011	isSuccessful	200
1552468937.340	76	75	282	9398	isSuccessful	200
1552468938.011	4854	73	69	6951	isSuccessful	200
1552468938.235	6072	77	69	6951	isSuccessful	200
1552468938.282	269	138	106	11003	isSuccessful	200
1552468938.306	8562	73	69	6951	isSuccessful	200
1552468938.358	76	74	292	9396	isSuccessful	200
1552468938.569	333	138	114	11067	isSuccessful	200
1552468938.906	335	75	287	9394	isSuccessful	200
1552468938.914	606	137	108	11019	isSuccessful	200
1552468939.056	140	75	299	9398	isSuccessful	200
1552468939.628	4474	73	69	6951	isSuccessful	200
1552468939.961	331	138	113	11059	isSuccessful	200
1552468940.100	138	73	306	9394	isSuccessful	200
1552468940.791	7282	75	69	6951	isSuccessful	200
1552468941.410	611	140	112	11051	isSuccessful	200
1552468941.668	4736	76	69	6951	isSuccessful	200
1552468941.702	291	74	288	9396	isSuccessful	200
1552468941.821	144	141	113	11059	isSuccessful	200
1552468942.152	331	73	285	9396	isSuccessful	200
1552468942.355	5013	76	69	6951	isSuccessful	200
1552468942.495	138	136	101	10963	isSuccessful	200
1552468942.571	76	74	278	9398	isSuccessful	200
1552468942.706	6509	73	69	6951	isSuccessful	200
1552468942.848	140	137	107	11011	isSuccessful	200
1552468942.925	76	75	291	9394	isSuccessful	200
1552468943.495	7780	73	69	6951	isSuccessful	200
1552468943.636	140	137	103	10979	isSuccessful	200
1552468943.798	5439	75	69	6951	isSuccessful	200
1552468944.194	557	73	273	9398	isSuccessful	200
1552468944.329	524	139	109	11027	isSuccessful	200
1552468944.472	140	75	296	9396	isSuccessful	200
1552468944.692	10541	76	69	6951	isSuccessful	200
1552468945.380	686	138	111	11043	isSuccessful	200
1552468945.524	141	76	293	9394	isSuccessful	200
1552468946.737	6636	73	69	6951	isSuccessful	200
1552468946.887	141	139	111	11043	isSuccessful	200
1552468946.926	8019	77	69	6951	isSuccessful	200
1552468946.963	75	74	303	9398	isSuccessful	200
1552468947.196	267	137	112	11051	isSuccessful	200
1552468947.338	140	75	285	9394	isSuccessful	200
1552468947.806	8749	73	69	6951	isSuccessful	200
1552468947.946	139	137	112	11051	isSuccessful	200
1552468948.023	76	75	287	9396	isSuccessful	200
1552468948.200	4002	75	69	6951	isSuccessful	200
1552468948.342	140	138	111	11043	isSuccessful	200
1552468948.355	6653	75	69	6951	isSuccessful	200
1552468948.421	76	74	304	9394	isSuccessful	200
1552468948.500	141	141	105	10995	isSuccessful	200
1552468948.576	75	74	274	9394	isSuccessful	200
1552468948.843	6687	74	69	6951	isSuccessful	200
1552468949.074	227	139	112	11051	isSuccessful	200
1552468949.324	6396	74	69	6951	isSuccessful	200
1552468949.343	268	139	302	9396	isSuccessful	200
1552468949.554	227	138	108	11019	isSuccessful	200
1552468949.908	5436	74	69	6951	isSuccessful	200
1552468950.053	141	138	112	11051	isSuccessful	200
1552468950.214	657	75	286	9396	isSuccessful	200
1552468950.455	402	74	283	9396	isSuccessful	200
1552468951.010	8438	74	69	6951	isSuccessful	200
1552468951.157	141	138	107	11011	isSuccessful	200
1552468951.362	205	76	289	9398	isSuccessful	200
1552468951.614	4650	74	69	6951	isSuccessful	200
1552468951.757	142	140	112	11051	isSuccessful	200
1552468951.834	77	74	302	9396	isSuccessful	200
1552468952.515	6988	74	69	6951	isSuccessful	200
1552468952.742	227	140	109	11027	isSuccessful	200
1552468952.969	226	75	284	9396	isSuccessful	200
1552468953.168	3822	73	69	6951	isSuccessful	200
1552468953.571	400	205	111	11043	isSuccessful	200
1552468953.711	139	74	287	9394	isSuccessful	200
1552468954.217	6194	74	69	6951	isSuccessful	200
1552468954.445	226	138	109	11027	isSuccessful	200
1552468954.588	140	75	281	9396	isSuccessful	200
1552468954.604	7263	75	69	6951	isSuccessful	200
1552468954.829	224	137	114	11067	isSuccessful	200
1552468955.045	6624	74	69	6951	isSuccessful	200
1552468955.161	331	74	289	9394	isSuccessful	200
1552468955.559	5101	73	69	6951	isSuccessful	200
1552468955.710	147	144	115	11075	isSuccessful	200
1552468955.712	667	138	105	10995	isSuccessful	200
1552468955.736	7159	73	69	6951	isSuccessful	200
1552468955.876	140	137	112	11051	isSuccessful	200
1552468955.913	202	73	301	9394	isSuccessful	200
1552468955.952	75	73	306	9396	isSuccessful	200
1552468956.005	292	76	283	9396	isSuccessful	200
1552468957.226	3511	73	69	6951	isSuccessful	200
1552468957.558	7343	74	69	6951	isSuccessful	200
1552468957.562	144	141	117	11091	isSuccessful	200
1552468957.643	81	79	308	9394	isSuccessful	200
1552468957.976	6140	74	69	6951	isSuccessful	200
1552468958.123	141	138	110	11035	isSuccessful	200
1552468958.138	6776	74	69	6951	isSuccessful	200
1552468958.202	77	76	298	9394	isSuccessful	200
1552468958.239	678	138	113	11059	isSuccessful	200
1552468958.445	205	74	290	9396	isSuccessful	200
1552468958.478	336	140	108	11019	isSuccessful	200
1552468958.560	80	79	285	9396	isSuccessful	200
1552468959.410	6440	74	69	6951	isSuccessful	200
1552468959.687	272	141	115	11075	isSuccessful	200
1552468959.767	79	78	292	9396	isSuccessful	200
1552468960.038	4875	74	69	6951	isSuccessful	200
1552468960.314	271	139	114	11067	isSuccessful	200
1552468960.457	142	76	303	9396	isSuccessful	200
1552468960.609	2965	76	69	6951	isSuccessful	200
1552468960.728	4815	74	69	6951	isSuccessful	200
1552468960.875	145	143	114	11067	isSuccessful	200
1552468960.954	79	77	286	9398	isSuccessful	200
1552468961.012	398	139	112	11051	isSuccessful	200
1552468961.155	141	75	280	9394	isSuccessful	200
1552468962.442	6489	73	69	6951	isSuccessful	200
1552468962.675	231	143	111	11043	isSuccessful	200
1552468962.819	143	77	291	9394	isSuccessful	200
1552468963.529	7522	73	69	6951	isSuccessful	200
1552468963.541	8952	73	69	6951	isSuccessful	200
1552468963.589	5142	77	69	6951	isSuccessful	200
1552468963.601	3142	75	69	6951	isSuccessful	200
1552468963.673	141	139	109	11027	isSuccessful	200
1552468963.687	141	140	110	11035	isSuccessful	200
1552468963.740	147	143	110	11035	isSuccessful	200
1552468963.743	141	139	113	11059	isSuccessful	200
1552468963.822	78	75	289	9394	isSuccessful	200
1552468963.822	82	82	283	9396	isSuccessful	200
1552468963.855	167	78	289	9396	isSuccessful	200
1552468963.883	209	77	298	9394	isSuccessful	200
1552468965.560	5790	76	69	6951	isSuccessful	200
1552468965.562	4608	74	69	6951	isSuccessful	200
1552468965.706	144	141	109	11027	isSuccessful	200
1552468965.786	79	76	290	9398	isSuccessful	200
1552468966.079	515	144	112	11051	isSuccessful	200
1552468966.208	5052	74	69	6951	isSuccessful	200
1552468966.289	206	76	287	9396	isSuccessful	200
1552468966.353	141	139	107	11011	isSuccessful	200
1552468966.433	79	76	293	9396	isSuccessful	200
1552468966.800	8238	77	69	6951	isSuccessful	200
1552468967.134	4314	76	69	6951	isSuccessful	200
1552468967.144	338	141	107	11011	isSuccessful	200
1552468967.279	142	142	110	11035	isSuccessful	200
1552468967.285	140	74	275	9396	isSuccessful	200
1552468967.356	76	74	294	9396	isSuccessful	200
1552468969.246	11043	74	69	6951	isSuccessful	200
1552468969.292	5470	74	69	6951	isSuccessful	200
1552468969.439	146	143	110	11035	isSuccessful	200
1552468969.476	229	140	113	11059	isSuccessful	200
1552468969.518	79	77	297	9396	isSuccessful	200
1552468969.709	232	77	290	9398	isSuccessful	200
1552468969.756	5873	75	69	6951	isSuccessful	200
1552468969.903	142	138	112	11051	isSuccessful	200
